Id,SalePrice_pred
1461,117584.22
1462,148677.92
1463,171691.08
1464,181269.95
1465,196015.02
1466,170304.04
1467,176888.95
1468,160574.84
1469,208051.02
1470,117804.09
1471,184472.0
1472,97761.84
1473,88010.93
1474,140096.11
1475,108311.44
1476,350374.27
1477,247080.99
1478,324588.7
1479,308089.9
1480,449289.25
1481,310018.16
1482,214127.75
1483,177339.2
1484,161908.67
1485,199527.29
1486,205526.42
1487,328786.45
1488,237795.99
1489,193132.64
1490,246819.33
1491,199367.98
1492,94465.94
1493,211810.62
1494,291316.47
1495,283537.44
1496,234407.13
1497,180398.21
1498,157340.76
1499,159803.42
1500,149968.55
1501,190397.99
1502,148454.17
1503,266303.21
1504,238076.29
1505,221607.71
1506,188666.07
1507,242348.98
1508,190359.18
1509,160848.95
1510,142495.22
1511,149550.8
1512,176334.82
1513,158091.94
1514,151829.66
1515,199871.88
1516,161525.04
1517,165205.25
1518,124747.18
1519,213416.95
1520,121542.67
1521,121978.64
1522,195747.14
1523,97891.68
1524,120315.52
1525,109350.89
1526,97366.39
1527,95303.35
1528,145946.52
1529,145459.42
1530,210518.79
1531,132480.43
1532,109711.92
1533,153805.61
1534,126904.09
1535,148225.22
1536,98654.78
1537,35451.82
1538,163494.3
1539,208811.71
1540,124764.32
1541,132691.88
1542,145286.11
1543,173784.3
1544,94671.01
1545,131324.62
1546,142545.66
1547,138481.93
1548,141201.46
1549,119447.5
1550,138532.84
1551,114872.96
1552,139308.16
1553,158687.72
1554,121032.1
1555,152672.55
1556,79061.0
1557,93554.66
1558,97759.08
1559,93023.71
1560,137338.71
1561,115860.66
1562,127712.34
1563,122476.09
1564,147083.4
1565,145941.25
1566,252276.12
1567,75449.29
1568,225544.69
1569,103703.33
1570,140489.74
1571,102970.89
1572,143693.36
1573,239057.87
1574,122129.1
1575,241569.91
1576,229239.78
1577,179547.95
1578,143346.8
1579,132484.28
1580,188188.31
1581,156903.7
1582,134991.41
1583,275379.74
1584,224883.1
1585,146655.11
1586,42204.36
1587,112381.28
1588,161921.87
1589,107073.52
1590,133192.56
1591,95893.75
1592,120223.82
1593,137479.36
1594,138038.01
1595,117093.81
1596,218553.15
1597,183368.55
1598,217447.51
1599,201244.86
1600,173671.51
1601,34671.8
1602,125161.78
1603,79346.69
1604,298781.52
1605,238439.55
1606,154029.25
1607,161757.77
1608,213254.76
1609,179163.64
1610,157025.36
1611,133829.2
1612,189901.14
1613,160896.26
1614,142939.58
1615,87257.7
